source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,1,single_type,"The maximum value of the function f x ( 2 ) given by f ( x )=x ( x−1) ,0 <x<2, is<="""" td=""""></x<2,>

**Options:**
-",b,0,4/27,−4,1/4,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,2,single_type,"2 πk+ For a given integer k, in the interval [ π ,2 πk− the graph of sin ] 2 x is

**Options:**
-",,Increasing from -1 to 1,Decreasing from -1 to 0,Decreasing from 0 to 1,None of the above,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,3,single_type,"tan θis given by If θ is the semi vertical angle of a cone of maximum volume and given slant height, then

**Options:**
-",,2,1,√2,√3,"**Answer:** `B`

**Explanation:**
We have, 
$$
 f(x)=x(x-1)^2 
$$
 
$$
 \Rightarrow f''(x) = (x-1)^2 + 2x(x-1) 
$$
 
$$
 \Rightarrow f''(x) = (x-1)(3x-1) 
$$
 The changes in the signs of f''(x) are shown in diagram Clearly, f(x) attains a local maximum at $x = \frac{1}{3}$ and a local minimum at x=1 
∴ Maximum value of 
$$
 f(x) = f\left(\frac{1}{3}\right) = \frac{4}{27} 
$$
 (a) Since, $2\pi k - \frac{\pi}{2} \le \sin \theta$ 
$$
 x \le 2\pi k + \frac{\pi}{2} 
$$
 For 
$$
 k=0 
$$
 
$$
 \frac{-\pi}{2} < \sin x < \frac{\pi}{2} 
$$
 Which increase from -1 $\dot{c}$ 1. Similarly, for other values of k it is 4 increase from -1 $\stackrel{.}{\iota}$ 1. **(c)** Volume of cone, 
$$
 V = \frac{\pi}{3}r^2h 
$$
 
$$
 \Rightarrow V = \frac{\pi}{3} r^2 \sqrt{l^2 - r^2} 
$$
 On differentiating w.r.t. r, we get 
$$
 \frac{dV}{dr} = \frac{\pi}{3} \left[ 2r\sqrt{l^2 - r^2} + \frac{r^2}{2\sqrt{l^2 - r^2}} \right] 
$$
 Put 
$$
 \frac{dV}{dr} = 0 
$$
 
$$
 \Rightarrow 2r\sqrt{(l^2-r^2)}-\frac{r^3}{\sqrt{l^2-r^2}}=0 
$$
 
$$
 \Rightarrow r \left[ 2(l^2 - r^2) - r^2 \right] = 0 
$$
 
$$
 \Rightarrow r = \pm l \sqrt{\frac{2}{3}} 
$$
 
$$
 \therefore \text{At} \quad r = l\sqrt{\frac{2}{3}}, \frac{d^2V}{dr^2} < 0, 
$$
 maxima 
$$
 h = \sqrt{l^2 - \frac{2}{3}l^2} = \frac{l}{\sqrt{3}} 
$$
 In $\triangle ABC$ , $\tan \theta = \frac{r}{h} =$ 
$$
 \frac{l\sqrt{\frac{2}{3}}}{\frac{l}{\sqrt{3}}} = \sqrt{2} 
$$
 Given that 

-- $f(x) = \sin x - bx + c$ $\therefore f'(x) = \cos x - b$ For decreasing, $f'(x) < 0$ , for all $x \in R$ . $\Rightarrow \cos x < b \text{ for all } x \in R \Rightarrow b$ (c) Given, $f(x)=2x^3+3x^2-12x+1$ $\Rightarrow f'(x)=6x^2+6x-12$ For f(x); be decreasing, f'(x)<0 $\Rightarrow 6(x^2+x-2)<0$ $\Rightarrow (x+2)(x-1)<0$ $\Rightarrow x \in (-2,1)$ (a) We have, $f(x)=2x+\cot^{-1}x+\log(\sqrt{1}\cdot x)$ $\therefore f'(x)=2-\frac{1}{1+x^2}+\frac{1}{\sqrt{1+x^2}}$ $\Rightarrow f'(x)=\frac{1+2x^2}{1+x^2}-\frac{1}{\sqrt{1+x^2}}$ $\Rightarrow f'(x)=\frac{1+2x^2}{1+x^2}-\frac{\sqrt{(1+x^2)}}{1+x^2}$ $\Rightarrow f'(x)=\frac{x^2+\sqrt{1+x^2}}{1+x^2}\{\sqrt{1+x}\}$ Hence, f(x) is an increasing function on $(-\infty,\infty)$ and in particular on $(0,\infty)$ We have, $f(x)=3\cos^2 x + 4\sin^2 x + \cos^2 x$ $\Rightarrow f(x) = 4 - \cos^2 x + \cos \frac{x}{2} +$ $\Rightarrow f'(x) = \sin 2x - \frac{1}{2} \left( \sin \frac{x}{2} - \dots (i) \right)$ $\Rightarrow f'(x) = 2 \sin x \cos x - \frac{1}{2} \left( \sin \frac{x}{2} - \dots (i) \right)$ $\Rightarrow f'(x) = 2\sin x \left(\sin^2 \frac{x}{2} - \cos^2 \frac{x}{2}\right)$ 
$$
 \Rightarrow f'(x) = \left(\cos\frac{x}{2} - \sin\frac{x}{2}\right) \left\{2s\right\} 
$$
 
$$
 \Rightarrow f'(x) = \left(\cos\frac{x}{2} - \sin\frac{x}{2}\right) \left\{2s\right\} 
$$
 For local maximum or For local maximum or minimum, we must have 
$$
 f'(x)=0 
$$
 
$$
 \Rightarrow \cos \frac{x}{2} - \sin \frac{x}{2} = 0 
$$
 
$$
 \Rightarrow \cos \frac{x}{2} = \sin \frac{x}{2} \Rightarrow \tan \frac{x}{2} = 1 
$$
 Now, $f''(x) = 2\cos 2x - \frac{1}{4} \left(\cos \frac{x}{2} + \frac{1}{4}\right)$ [Using (i)] 
$$
 \Rightarrow f''\left(\frac{\pi}{2}\right) = 2\cos\pi - \frac{1}{4}\left(\cos\frac{\pi}{2}\right) 
$$
 Thus, f(x) attains a local maximum at $x = \frac{\pi}{2}$ Local maximum value 
$$
 if\left(\frac{\pi}{2}\right) = 4 + \frac{2}{\sqrt{2}} = 4 + \sqrt{2} 
$$
 
$$
 \therefore y = \left(\frac{c^6 - a^2 x^4}{b^2}\right)^{\frac{1}{4}} 
$$
 Let $f(x) = xy = \left(\frac{c^6 x^4 - a^2 x^8}{b^2}\right)^{\frac{1}{4}}$ 
$$
 \Rightarrow f'(x) = \frac{1}{4} \left( \frac{c^6 x^4 - a^2 x^8}{b^2} \right)^{-3t} 
$$
 
$$
 \left(\frac{4x^3c^6}{b^2} - \frac{8x^7a^2}{b^2}\right) 
$$
 Put $f'(x) = 0$ 
$$
 \Rightarrow x = \pm \frac{c^{3/2}}{2^{1/4}\sqrt{a}} 
$$
 
$$
 \therefore f\left(\frac{c^{3/2}}{c^{1/4}\sqrt{a}}\right) = \frac{c^3}{\sqrt{2ab}} 
$$
 Let the radius of the circular wave ring by r cm at any time t. Then, 5 $\frac{dr}{dt}$ = 30 cm/sec (given) 

- Let A be the area of the enclosed ring. Then, $A = \pi r^2$ $\Rightarrow \frac{dA}{dt} = 2 \pi r \frac{dr}{dt}$ $\Rightarrow \frac{dA}{dt} = 2\pi \times 50 \times \frac{30}{100} \text{m}^2 \text{s} \epsilon$ 13 $\Rightarrow \frac{1}{dt} = 2\pi \times 50 \times \frac{100}{100} \text{m se}$ (b) We have, $x = t \cos t$ and $y = t \sin t$ $\therefore \frac{dx}{dt} = \cos t - t \sin t$ and at $\frac{dy}{dx} = \sin t + t \cos t$ At the origin, we have $x=0, y=0 \Rightarrow t \cos t = 0$ and $t\cos t = 0 \Rightarrow t = 0$ The slope of the tangent at $t=0$ is / 7 \ $\frac{dy}{dt}$ $\frac{dy}{dt}$ 14 $\frac{dy}{dx} = \begin{vmatrix} \frac{dy}{dt} \\ \frac{dx}{dt} \end{vmatrix} = \begin{vmatrix} \frac{\sin t + t \cos}{\cos t - t \sin} \end{vmatrix}$ $\left \frac{dx}{dt}\right _{t=0}$ So, the equation of the tangent at the origin is $t-0=0(x-0)\Rightarrow y=0$ (c) Surface area of sphere $\frac{dr}{dr}$ $S=4\pi r^2$ and $\frac{dr}{dt}=2$ $\therefore \frac{dS}{dt} = 4\pi \times 2r \frac{dr}{dt} = 8\pi r \times$ 15 $\Rightarrow \frac{dS}{dt} \propto r$ dt (c) Let $f(x) = \left(\frac{1}{x}\right)^x = x^{-x} = e^{-x \log x}.$ Then, 16 $f'(x) = -\left(\frac{1}{x}\right)^x (\log x + 1) = -1$ Now, f'(x)=0 $\Rightarrow -x^{-x}(\log x+1)=0$ 11 12 $\Rightarrow \log x + 1 = 0 \Rightarrow \log x = -1$ Clearly, f''(x) < 0 at $x = e^{-1}$ Hence, $f(x) = x^{-x}$ is maximum for $x = e^{-1}$ . The maximum value is $\rho^{1/e}$ (c) Given, $f(x)=2x^3-21x^2+36x-30$ $\Rightarrow f'(x) = 6x^2 - 42x + 36$ For maxima or minima, put f'(x)=0 $\Rightarrow 6x^2 - 42x + 36 = 0 \Rightarrow x = 6$ f''(x) = 12x - 42And f''(1) = -30and f''(6) = 30Hence, f(x) has maxima at x=1 and minima at x=6(a) Let *l*be the length of an edge and Vbe the volume of cue at any time t. $V = t^{3}$ $\frac{dV}{dt} = 3l^{2} \frac{dl}{dt}$ $3 \times 5^{2} \times 10 c m^{3}/s$ $750 c m^{3}/s$ (c) We have, $\frac{dy}{dx} = \frac{-\sin\theta}{1-\cos\theta}$ Clearly, $\frac{dy}{dx} = 0$ for $\theta = (2k+1)\pi$ So, the tangent is parallel to *x*-axis i.e. y=0(b) We have, $5x^5 - 10x^3 + x + 2y + 6 = 0$ ...(i) Differentiating with respect to x, we get 
$$
 25 x^4 - 30 x^2 + 1 + 2 \frac{dy}{dx} = 0 
$$
 
$$
 \Rightarrow \frac{dy}{dx} = \frac{-1}{2} \left( 25 x^4 - 30 x^2 + 1 \right) 
$$
 
$$
 \Rightarrow \left( \frac{dy}{dx} \right)_{(0,-3)} = \frac{-1}{2} 
$$
 The equation of the normal at (0,-3) is $y+3=2(x-0)\Rightarrow 2x-y-3$ Solving (i) and (ii), we obtain the coordinates of their points of intersection as P(0,-3),(1,-1) and (-1,-5)Hence, the normal at P(0,-3) meets the curve again at (1,-1)and (-1, -5) #### (b) We have, $\frac{dx}{d\theta} = a(-\sin\theta + \sin\theta + \theta\cos\theta)$ 19 
$$
 \frac{dy}{d\theta} = a(\cos\theta - \cos\theta + \theta\sin\theta) 
$$
 
$$
 \therefore \frac{dy}{dx} = \frac{dy/d\theta}{dx/d\theta} = \tan\theta \Rightarrow -\frac{\alpha}{2} 
$$
 Hence, the slope of the normal varies as $\theta$ The equation of the normal at any point is $y-a(\sin\theta-\theta\cos\theta)=-\cot\theta$ $\Rightarrow x \cos \theta + y \sin \theta = a$ Clearly, it is a line at a constant distance $\dot{\iota} a \vee \dot{\iota}$ from the origin #### (d) We have, 
$$
 f(x) = \begin{cases} 3x^2 + 12x - 1, -1 \le 3 \\ 37 - x, 2 < x \le 3 \end{cases} 
$$
 Clearly, 
$$
 \lim_{x \to 2^{-\lambda} f(x) = \lim_{x \to 2^{+\lambda} f(x) = f(2)\lambda} \lambda \lambda} \lambda \lambda 
$$
 So, f(x) is continuous at x=2 Hence, it is continuous on 
$$
 [-1,3] 
$$
 Thus, option (b) is correct We find that 
$$
 f'(x) = 6x + 12 > 0 
$$
 for all 
$$
 x \in [-1,2] 
$$
 
$$
 \Rightarrow f(x) 
$$
 is increasing on $[-1,2]$ Thus, option (a) is correct Also. f'(x) < 0 for all $x \in (2,3)$ $\Rightarrow f(x)$ is decreasing on (2, 31) Hence, f(x) is attains the maximum value at So, option (c) is correct #### (b) Given, 
$$
 f(x) = x^3 - 3x^2 + 2x 
$$
 
$$
 \Rightarrow f'(x) = 3x^2 - 6x + 2 
$$
 Now, 
$$
 f(a)=f(0)=0 
$$
 And 
$$
 f(b) = f\left(\frac{1}{2}\right) 
$$
 
$$
 i\frac{1}{2}\left(\frac{1}{2}-1\right)\left(\frac{1}{2}-2\right)=\frac{3}{8} 
$$
 By Lagrange's Mean Value Theorem 
$$
 \frac{f(b)-f(a)}{b-a}=f'(c) 
$$
 
$$
 \Rightarrow \frac{\frac{3}{8} - 0}{\frac{1}{2} - 0} = 3c^2 - 6c + 2 
$$
 
$$
 \Rightarrow 12c^2 - 24x + 5 = 0 
$$
 This is a quadratic equation in c. 
$$
 c = \frac{24 \pm \sqrt{576 - 240}}{24} 
$$
 
$$
 \therefore 1 \pm \frac{\sqrt{21}}{6} 
$$
 
$$
 1.1\pm \frac{\sqrt{21}}{6} 
$$
 But c lies between 0 to 2 $\therefore we take, c = 1 - \frac{\sqrt{21}}{6}$ 

- (a) Since, $f(x) = kx - \sin x$ is monotonically increasing for all $x \in R$ . Therefore, $f'(x)$ >0for all $x \in R$ $\Rightarrow K - \cos x > 0$ $\Rightarrow K > \cos x$ 
⇒ K>1 = (c) We have, $f(-1) < 0$ So, $f(x) > 0$ for all $x \in R$ is not true Now, $f'(x)=x^3-6x^2+15x+3$ $\Rightarrow f'(x) = 3x^2 - 12x + 15$ $\Rightarrow f'(x) = 3(x^2 - 4x + 5) = 3($ for all $x \in R$ $\Rightarrow f(x)$ is strictly increasing on $R$ $\Rightarrow f(x)$ is invertible on R (b) Let D denotes the diagonal of the square. Given, $\frac{dD}{dt} = \frac{0.5 cm}{s} \dots (i)$ • $ \frac{1}{2}D^2 \Rightarrow D = 20\sqrt{2} $ $\left( \therefore = \frac{D^2}{2} \right)$ 24 _ / On differentiating w. r. t. t, we get $(P^2)$ $\frac{dA}{dt} = \frac{d}{dt} \left( \frac{D^2}{2} \right)$ $\stackrel{\cdot}{\iota} 20\sqrt{2} \times 0.5$ $=10\sqrt{2}cm^2/s$ Consider the function f(x) given by Clearly, $f(x) \ge 0$ for all x>0 [: $ax^2 + \frac{b}{x} \ge c$ (Given)] Also, $f'(x)=2ax-\frac{b}{x^2}$ and $f''(x) = 2a + \frac{2b}{a^3}$ For points of local maximum/minimum, we must have $f'(x)=0 \Rightarrow 2ax^3=b \Rightarrow x=$ $f''\left\{\left(\frac{b}{2a}\right)^{1/3}\right\} = 2a + 4a = 6a$ : Therefore, f(x) attains a local minimum at $x = \left(\frac{b}{2a}\right)^{1/3}$ Now. $f\left\{\left(\frac{b}{2a}\right)^{1/3}\right\} = a\left(\frac{b}{2a}\right)^{2/3} + b\left(\frac{2}{a}\right)^{2/3}$ $\Rightarrow f\left\{\left(\frac{b}{2a}\right)^{1/3}\right\} = \frac{b^{2/3}a^{1/3}}{2^{2/3}} + b^{2/3}$ But, $f(x) \ge 0$ for all x > 0 $\frac{b^{2/3}a^{1/3}}{2^{2/3}}+b^{2/3}(2a)^{1/3}-c\geq 0$ $\Rightarrow (b^2 a)^{1/3} \left( \frac{1}{2^{2/3}} + 2^{1/3} \right) \ge c$ $\Rightarrow 3 \left( b^2 a \right)^{1/3} \ge 2^{2/3} c \Rightarrow 27 a b^2$ Suppose the tangent from the point (2, 0) to $y=x^4$ touches the curve at $(x_1, y_1)$ . The equation of the tangent at $(x_1, y_1)$ is $y-y_1=4x_1^3(x-x_1)$ If it passes through (2, 0), then $0-y_1=4x_1^3(2-x_1)$ $\Rightarrow y_1 = 4 x_1^3 (x_1 - 2)$ $f(x) = ax^2 + \frac{b}{x} - c, x > 0$ 20 21 $\Rightarrow x_1^4 = 4 x_1^3 (x_1 - 2)$ $[\because (x_1, y_1) lies on y = x^4 \therefore ]$ $\Rightarrow 3x_1^4 - 8x_1^3 = 0$ $\Rightarrow x_1^3 (3x_1 - 8) = 0$ $\Rightarrow x_1 = 0 \text{ or. } x_1 = 8/3$ Now, $x_1=0$ , and $y_1 = x_1^4 \Rightarrow y_1 = 0$ $x_1 = 8/3$ , and $y_1 = x_1^4 \Rightarrow y_1 = \left(\frac{8}{3}\right)^4 = \frac{4096}{81}$ 29 Thus the points of tangency are (0, 0)and (8/3, 4096/81) Hence, the equations of the tangents are v=0 and $y = \frac{-4096}{81} = \frac{2048}{27} \left( x - \frac{8}{3} \right)$ (b) The equation of given curve is $\sqrt{x} + \sqrt{y} = \sqrt{a}$ $\therefore \frac{1}{2\sqrt{x}} + \frac{1}{2\sqrt{y}} \frac{dy}{dx} = 0$ $\Rightarrow \frac{dy}{dy} = \frac{-\sqrt{y}}{\sqrt{y}}$ The normal is parallel to *x*-axis. if $\left(\frac{dx}{dy}\right)_{(x_1, y_2)} = 0 \Rightarrow x_1 = 0$ 
∴ From equation of curve, $y_1 = a$ : Required point is (0,a)31 (d) $f(x)=2x^3-9x^2+12x+4$ $\Rightarrow f'(x) = 6x^2 - 18x + 12$ f'(x) < 0 for function to be decreasing $\Rightarrow 6(x^2-3x+2)<0$ $\Rightarrow (x^2-2x-x+2)<0$ $\Rightarrow (x-2)(x-1) < 0$ 32 $\Rightarrow$ 1< x<2 (d) Given that, $f(x) = 1 - x^3 - x^5$ On differentiating w.r.t. x, we get $f'(x) = -3x^2 - 5x^4$ $\Rightarrow f'(x) = -(3x^2 + 5x^4)$ $\Rightarrow f'(x) < 0$ for all values of x(a) We have, $y = x(x-3) ^2$ $\therefore \frac{dy}{dx} = 2x(x-3)(2x-3)$ Clearly, $\frac{dy}{dx} > 0$ for $0 < x < \frac{3}{2}$ Hence, y is increasing for 0 < x < 3/2(b) We have, $v = -3 \log_{2}(9 + x^{2})$ $\Rightarrow \frac{dy}{dx} = \frac{-6x}{9 + x^2}$ $\Rightarrow -\frac{dy}{dx} = \frac{9+x^2}{6x} \Rightarrow m = \frac{9+x^2}{6x}$ Now. A.M.>G.M. $\Rightarrow \frac{9+ x ^2}{2} \ge \sqrt{9 x ^2}$ $\Rightarrow \frac{9+ x ^2}{2} \ge 3 \lor x \lor \dot{c}$ $\Rightarrow \frac{9+ x ^2}{6 \lor x \lor i > 1 \Rightarrow m > 1 \Rightarrow m}$ (d) We have. $f(x) = \frac{x^2 - 1}{x^2 + 1} = 11 - \frac{2}{x^2 + 1}$ Clearly, f(x) will be minimum when $\frac{2}{v^2+1}$ is maximum i.e. when $x^2+1$ is minimum. Obviously, $x^2+1$ is minimum at x=0... Minimum value of f(x) is f(0) = -1 27 Thus, f has infinite points if minimum, if r=pIn case, $p \ne r$ , then x=0 is point of minimum, if r>p and $x=\frac{q}{p}$ is point of minimum, if r< p (d) Since 33 34 
$$
 f(x) = \frac{K \sin x + 2 \cos x}{\sin x + \cos x} 
$$
 is increasing for all $x$ . $\therefore f'(x) > 0$ for all $x$ 
$$
 \Rightarrow \frac{K-2}{(\sin x + \cos x)} > 0 \text{ for all } x 
$$
 
$$
 \Rightarrow K-2 > 0 \Rightarrow K > 2 
$$
 
$$
 \delta \Delta ADC 
$$
 , $\tan \theta = \frac{6}{x+y}$ And in $\triangle BCE$ , 
$$
 \tan \theta = \frac{2}{x} 
$$
 
$$
 \therefore \frac{2}{x} = \frac{6}{x+y} \Rightarrow y = 2x 
$$
 On differentiating w.r. t. t, we get $\frac{dy}{dt} = 2 \frac{dx}{dt} \Rightarrow \frac{dx}{dt} = 3 \, km/h$ $\left[ \because \frac{dy}{dt} = 6, given \right]$ (a) Using Mean value theorem, 
$$
 \begin{split} f'(c) &= \frac{f(3) - f(1)}{3 - 1} \\ \Rightarrow \frac{1}{c} &= \frac{\log_e 3 - \log_e 1}{1} \\ \Rightarrow c &= \frac{2}{\log_e 3} = 2\log_3 e \end{split} 
$$
 Let $f(x) = ax + \frac{b}{x}$ . Then, 
$$
 ax + \frac{b}{x} \ge c 
$$
 for all $x > 0$ $\Rightarrow f(x) \ge c$ for all $x > 0$ $\Rightarrow c$ is the smallest value of $f(x)$ Now, 
$$
 f'(x) = 0 \Rightarrow a - \frac{b}{x^2} = 0 \Rightarrow x = \pm 1 
$$
 and, 
$$
 f''(x) = \frac{2b}{x^3} > 0 
$$
 for 
$$
 x = \sqrt{\frac{b}{a}} 
$$
 Thus, f(x) attains a local minimum at 
$$
 x = \sqrt{\frac{b}{a}} 
$$
 
$$
 \Rightarrow f\left(\sqrt{\frac{b}{a}}\right) \ge c \qquad [\because c \text{ is } 
$$
 the smallest value of 
$$
 f(x)] \Rightarrow \sqrt{ab} + \sqrt{ab} \ge c 
$$
 
$$
 \Rightarrow 2\sqrt{ab} \ge c \Rightarrow ab \ge \frac{c^2}{4} 
$$
 a,b,c are all positive (b) We have, $f(x) = \int_0^x \frac{\cos t}{t} dt$ , $x > 0 \Rightarrow f'(x)$ 

- $\therefore f'(x) = 0 \Rightarrow \frac{\cos x}{x} = 0$ $\Rightarrow$ cos $x=0 \Rightarrow x=(2n+1)\frac{\pi}{2}$ , Now, $f'(x) = \frac{\cos x}{x}$ $\Rightarrow f''(x) = \frac{-x\sin x - \cos x}{x^2}$ 41 $\Rightarrow f''\left((2n+1)\frac{\pi}{2}\right) = \frac{-2}{(2n+1)\pi}$ $\Rightarrow f''((2n+1)\frac{\pi}{2}) > 0 \text{ for } n = -$ $ \stackrel{\cdot}{i} 0 \text{ for } n = 0, 2, 4, 6, $ $ \begin{array}{l} 0 & \text{for } n = -1, -3, -5, \dots \\ \end{array} $ Hence, $f(x)$ attains respectively minima, maxima, minima and maxima (c) We have, $\left(\frac{x}{a}\right)^n + \left(\frac{y}{b}\right)^n = 2$ $nx^{n-1}$ $nv^{n-1} dv$ $\Rightarrow \frac{n x^{n-1}}{a^n} + \frac{n y^{n-1}}{b^n} \frac{dy}{dx} = 0$ $\Rightarrow \frac{dy}{dx} = \frac{-b^n x^{n-1}}{a^n y^{n-1}} \Rightarrow \left(\frac{dy}{dx}\right)_{(a,b)}$ for all $n$ The equation of the tangent at $(a,b)$ is $y-a = \frac{-b}{a}(x-a) \Rightarrow \frac{x}{a} + \frac{y}{b} =$ Thus, $\frac{x}{a} + \frac{y}{b} = 2$ touches the curve (i) at $(a,b)$ for all n (c) We have, $PV^{1/4} = \lambda (constant)$ $\Rightarrow \log P + \frac{1}{4} \log V = \log \lambda$ 42 $\Rightarrow \frac{1}{P} \frac{dP}{dV} + \frac{1}{4V} = 0$ 
$$
 \Rightarrow \frac{dP}{dV} = \frac{-1}{4} \frac{P}{V} 
$$
 
$$
 \therefore \Delta P = \frac{dP}{dV} \Delta V 
$$
 
$$
 \Rightarrow \Delta P = \frac{-1}{4} \frac{P}{V} \Delta V 
$$
 
$$
 \Rightarrow \frac{\Delta P}{P} \times 100 = \frac{-1}{4} \times -\frac{1}{2} = \frac{-1}{8} \times \frac{1}{8} \times \frac{1} 
$$
 40 On differentiating w.r.t. x, we get 

-- $f'(x) = \frac{-(8x+2)}{(4x^2+2x+1)^2}$ $(4x^2+2x+1)^2$ ••• 445 (i) For maxima or minima $\operatorname{put} f'(x) = 0$ 
$$
 \Rightarrow 8x+2=0 \Rightarrow x=\frac{-1}{4} 
$$
 Again differentiating w.r.t. x of Eq. (i), we 
$$
 f''(x) = \frac{-\left[ \left( 4x^2 + 2x + 1 \right)^2 (8) \right]}{\left( 4x^2 + 2x + 1 \right)} 
$$
 At 
$$
 x = \frac{-1}{4} 
$$
 , $f''(\frac{-1}{4}) = -ve$ f(x) is maximum at 
$$
 x = \frac{-1}{4} 
$$
 .. maximum value of f(x) 
$$
 f\left(\frac{-1}{4}\right)_{max} = \frac{1}{4 \times \frac{1}{16} - 2 \times \frac{1}{4}} 
$$
 
$$
 \frac{1}{\frac{1}{4} - \frac{2}{4} + 1} 
$$
 
$$
 \frac{4}{1-2+4} = \frac{4}{3} 
$$
 Let 
$$
 f(x)=2x+3y 
$$
 
$$
 \therefore f(x) = 2x + \frac{18}{x} 
$$
 $\therefore xy = 6$ , given] 
$$
 \Rightarrow f'(x) = 2 - \frac{18}{x^2} 
$$
 Put f'(x)=0 for maxima or minima 
$$
 \Rightarrow 0 = 2 - \frac{18}{x^2} \Rightarrow x = \pm 3 
$$
 
$$
 f''(x) = \frac{36}{x^3} \Rightarrow f''(3) = \frac{36}{3^3} > 0 
$$
 49 $\therefore$ At x=3, f(x) is minimum. 45 The minimum value is f(3)=12 (c) On differentiating given curve w. r. t. x. we get 
$$
 4y^3\frac{dy}{dx} = 3ax^2 
$$
 
$$
 \Rightarrow \left(\frac{dy}{dx}\right)_{(a,a)} = \frac{3a^3}{4a^3} = \frac{3}{4} 
$$
 
∴ Equation of normal at point (a,a) is 
$$
 y-a=\frac{-4}{3}(x-a) 
$$
 
$$
 \Rightarrow 
$$
 4 x + 3 y = 7 a (b) Let $f(x) = x^3 - px + q$ Then $f'(x) = 3x^2 - p$ 
$$
 f'(x) = 0 \Rightarrow x = \sqrt{\frac{p}{3}}, -\sqrt{\frac{p}{3}} 
$$
 Now, 
$$
 f''(x)=6x 
$$
 
$$
 \therefore \text{ At} 
$$
 
$$
 x = \sqrt{\frac{p}{3}}, f''(x) = 6\sqrt{\frac{p}{3}} > 0, 
$$
 minima And at 
$$
 x = -\sqrt{\frac{p}{3}}, f''(x) 
$$
 =0, maxima (a) For x=p, $y=ap^2bp+c$ And for 
$$
 x=q 
$$
 , $y=aq^2+bq+c$ 
$$
 i\frac{aq^2+bq+c-ap^2-bp-c}{q-p} 
$$
 
$$
 \frac{dy}{dx} 
$$
 = 2 $ax + b = a(q + p) + b$ (according to the equation) 
$$
 \therefore x = \frac{q+p}{2} 
$$
 Clearly, f(x) is continuous and differentiable on the intervals [0,3] and (0,3)respectively for all $n \in N$ Also, f(0)=f(3)=0It is given that Rolle's theorem for the function f(x) defined on [0,3] is applicable with $c = \frac{3}{4}$ $\therefore f'(c)=0$ $\Rightarrow 2(c-3)^n + 2nc(c-3)^{n-1} =$ $[::f(x)=2x(x-3)^n::f'(x)$ $\Rightarrow 2(c-3)^{n-1}(c-3+nc)=0$ $\Rightarrow \frac{3}{4} - 3 + \frac{3}{4}n = 0 \Rightarrow n = 3 \Big[ \because$ 52",,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,4,single_type,"(−∞ ,∞) is given by The value of b for which the function f ( x )=sin x−bx+c is decreasing in the interval

**Options:**
-",,b<1,b≥1,b>1,b≤1,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,5,single_type,"The function f ( x 3 2−12 )=2 x +3 x+1 decreases in the interval

**Options:**
-",c,"(2, 3)","(1, 2)","(-2, 1)","(-3, -2)",,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,6,single_type,"x+cot−1 If f ( x )=2−x ) , then f x ( ) x+log (√1+x

**Options:**
-",,Increases on R,Decreases in ¿,"Neither increases nor decreases in (0 ,∞)",None of these,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,7,single_type,"The maximum value of f 2 sin2 ( x )=3 cos x+4 x+cosin , is 2

**Options:**
-",c,4,3+√2,4+√2,2+√2,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,8,single_type,"2 4 2 4=c 6 If a x +b y , then maximum value of xy is

**Options:**
-",,2 c √ab,3 c ab,N/A,N/A,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,9,single_type,"A stone is dropped into a quiet lake. If the waves moves in circles at the rate of 30cm/sec when the radius is 50 m, the rate of increase of enclosed area is

**Options:**
-",a,2 30 π m /sec,2 30m /sec,2 3 π m /sec,None of these,,,,,,,,,,,
APPLICATION_OF_DERIVATIVES.json,227,MATH,APPLICATION OF DERIVATIVES,327,10,single_type,"The equation of the tangent to the curve x=t cost , y=tsin t at the origin is

**Options:**
-",,x=0,y=0,x+ y=0,x− y=0,,,,,,,,,,,
