source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,0,numerical,,,,,,,,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,1,single_type,"THE LIVING WORLD # Active Site Tutorials

**Options:**
-",a,Hydra,Planaria,Sponges,Amoeba,Regeneration was first observed in Hydra. Planaria exhibits true regeneration. All these organisms show regeneration as a key feature | |,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,3,single_type,"New systematics introduced by Sir Julian Huxley is also called as

**Options:**
-",b,Phonetics,Cladistics,Biosystematics,Numerical taxonomy,"New systematics or biosystematics is concept of systematics which brings out taxonomic affinities on the basis of evolutionary, genetic and morphological traits. New systematics brings out cladistics or phylogenetic classification | |",,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,5,single_type,"Different (various) group of ranks or levels in classification is known/called as

**Options:**
-",d,Category,Order,Genera,Taxon,→ A taxon is the taxonomic group of any rank in the system of classification | |,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,6,single_type,"*By which chemical specimen for herbaria are treated to prevent fungal attack*

**Options:**
-",a,0.1% mercuric chloride,0.1% mercurous chloride,Carbon disulphide,Acetic acid,,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,7,single_type,"What is the prime source of taxonomic studies?

**Options:**
-",c,Collection of actual specimens of organisms species,Identification of actual specimen of organism species,Both (,N/A,The prime source of taxonomic studies is collection and identification of actual specimen. Nomenclature the present scientific method of naming the organism can be completed only when actual specimen is collected and identified | |,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,8,single_type,"Select true and false statement and choose correct answer from the option given below I. Taxon is a group of related organism II. Homo sapiens is the scientific name of man III. Royal Botanical Garden is located in Bristol (England) IV. Dudhwa National Park is located at Lakhimpur in UP V. There are about 89 wildlife sanctuaries and 492 National Parks in India VI. When specific name is identical to generic name it is an example of tautonym

**Options:**
-",,"True-I, III, V, False-II, IV, VI","True-I, II, III, False-IV, V, VI","True-II, IV, VI, False-V, III, I","True-VI, V, IV, False-III, II, I",Taxon is used represent any rank in taxonomic hierarchy. Royal Botanical Garden is located at (Kew) London in England. There are about 492 (approximately 504) wildlife sanctuaries and 89 national park in India. Rest three statement are true | |,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,9,single_type,"Where was the first herbarium set up?

**Options:**
-",b,London in Great Britain,Pisa in Italy,New York in USA,Tokyo in Japan,Luca Ghini a professor of Botany set-up the first herbarium at Pisa is Italy | |,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,10,single_type,"*Where is Biosphere Reserve Simlipal located?*

**Options:**
-",,Kerala,Odisha,Asom,Sikkim,There are 14 reserve biosphere in India. Simlipal Biosphere reserve is located in Odisha | |,,,,,,,,,,
Test_ID-684-BIOLOGY.json,684,MATH,THE LIVING WORLD,240,11,single_type,"A germplasm is a

**Options:**
-",a,Collection of seeds or plants consists diverse alleles of all genes in a crop,Collection of specimens of all the species of botanical garden,Collection of hybrid varieties of plants,Seed or pollar collection of threatened species of a group,,,,,,,,,,,
