source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,0,numerical,,,,,,,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,1,numerical,"$\underbrace{\frac{1. \text{Hg(OCOCF}_3)_2}{+ \text{EtOH}}}_{\text{2. NaBH}_4}$ Ph $\xrightarrow{\text{OEt}}$ (A)

**Options:**
- a) 
- b) 
- c) 
- d)",a,,,,,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,2,single_type,Diethyl ether on heating with cons.HI gives two moles of: *,c,Ethanol,Iodoform,Ethyl iodide,"Methyl iodide

**Options:",,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,3,single_type,Phenol *Aerial* ¿ coloured product. This is due to the formation of: *,c,,$$,$$,All,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,5,single_type,"The crown-guest complex is called an inclusion compound. The crown ether allows the inorganic salt to dissolve in non-polar solvents. *KMnO*4 forms a complex with crown ether. In this complex, the host is………… and the guest is…………… *

**Options:**
-",b,K <sup>⊕</sup>* and crown ether,Crown ether and *K ⊕,MnO*<sup>4</sup> *⊖* and crown ether,Crown ether and *MnO*<sup>4</sup> *⊖,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,6,single_type,"In the following compounds, The order of acidity is: *",d,III* >*IV* >*I* >*II,I* >*IV* >*III* >*II,II* >*I* >*III* >*IV,"IV* >*III* >*I* >*II*

**Options:",,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,7,single_type,"*C H*3*C H*2*OH* +*C H*2*N*<sup>2</sup> *HB E*<sup>4</sup> Products *→* Which of the following statements is true about the above reaction? i.The product is *C H*3*C H*2*OC H*<sup>3</sup> ii. the strong acid *HB F*4 first protonates *C H*2*N*2 to give *C H*<sup>2</sup> *⊖ N*2 , from which *N*2(an extremely good leaving group) is displaced iii. *C H*3*C H*2*OH* acts as a nucleophile ### iv. *C H*2*N*2 acts as a nucleophile *",b,i and ii,"i, ii, and iii","i, ii, and iv","All

**Options:",,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,8,single_type,The compound which reacts fastest with Lucas reagent at room temperature is: *,d,Butan-2-ol,Butan-1-ol,2-Methyl propan-1-ol,"2-Methyl propan-2-ol

**Options:",,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,9,single_type,"$$H_{3}C$$ $$B_{2}H_{6}/THF \rightarrow (

**Options:**
-",a,\xrightarrow{H_{2}O_{2}/OH} (,$$ $$CH_{3}COOH \rightarrow (,"$$ Three compounds I, II and III are given (I) $$OH$$ The compounds (","II, III, and I",,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS.json",502,PHYSICS,"ALCOHOLS, PHENOLS AND ETHERS",133,10,single_type,Benzene diazonium chloride on reaction with phenol in a basic medium gives: *,b,Diphenyl ether,p*-Hydroxy azobenzene,Chlorobenzene,Benzene,,,,,,,,,,,
